User_ID,Gender,Age,Marital_Status,Website_Activity,Browsed_Electronics_12Mo,Bought_Electronics_12Mo,Bought_Digital_Media_18Mo,Bought_Digital_Books,Payment_Method
70962,F,35,S,Regular,Yes,Yes,No,No,'Website Account'
63570,M,61,M,Frequent,Yes,No,Yes,No,'Website Account'
35783,M,58,S,Seldom,Yes,No,Yes,No,'Website Account'
44534,M,30,M,Seldom,Yes,No,Yes,Yes,'Website Account'
43668,F,41,S,Regular,Yes,Yes,Yes,Yes,'Bank Transfer'
35863,M,17,M,Seldom,Yes,Yes,Yes,Yes,'Website Account'
42424,F,57,S,Regular,Yes,No,No,Yes,'Website Account'
63405,F,55,S,Seldom,Yes,No,Yes,No,'Website Account'
79388,F,45,M,Regular,Yes,Yes,Yes,Yes,'Bank Transfer'
56031,M,57,S,Regular,Yes,Yes,Yes,Yes,'Bank Transfer'
86915,F,31,S,Seldom,Yes,No,Yes,No,'Website Account'
48018,F,62,M,Seldom,Yes,Yes,Yes,No,'Website Account'
77172,M,51,S,Frequent,Yes,Yes,Yes,Yes,'Website Account'
76655,F,51,S,Seldom,Yes,No,No,No,'Website Account'
72143,F,50,S,Seldom,Yes,No,No,No,'Website Account'
55848,F,53,S,Seldom,Yes,Yes,Yes,No,'Credit Card'
75473,M,47,S,Seldom,Yes,Yes,Yes,No,'Website Account'
79388,F,45,M,Regular,Yes,Yes,Yes,Yes,'Bank Transfer'
77555,M,68,S,Regular,Yes,No,No,Yes,'Credit Card'
76881,M,44,S,Seldom,Yes,Yes,Yes,Yes,'Bank Transfer'
69195,M,48,S,Regular,Yes,No,Yes,No,'Website Account'
32561,M,65,S,Seldom,Yes,No,Yes,Yes,'Bank Transfer'
46081,M,28,M,Regular,Yes,Yes,Yes,No,'Website Account'
35169,M,37,M,Seldom,Yes,No,Yes,No,'Monthly Billing'
92336,F,34,M,Frequent,Yes,Yes,No,No,'Monthly Billing'
54445,F,33,M,Regular,Yes,No,Yes,No,'Website Account'
84566,M,55,M,Seldom,Yes,No,Yes,Yes,'Website Account'
13957,M,44,M,Seldom,Yes,Yes,Yes,Yes,'Bank Transfer'
39308,M,54,M,Seldom,Yes,No,Yes,Yes,'Website Account'
69935,M,28,M,Regular,Yes,No,Yes,No,'Bank Transfer'
97362,F,43,M,Seldom,Yes,No,Yes,No,'Bank Transfer'
49903,F,42,M,Regular,Yes,Yes,Yes,Yes,'Website Account'
65341,F,32,S,Seldom,Yes,No,Yes,No,'Website Account'
89520,M,50,S,Frequent,Yes,No,No,No,'Website Account'
24454,M,47,S,Seldom,Yes,Yes,Yes,No,'Website Account'
52421,F,37,S,Seldom,Yes,Yes,Yes,No,'Website Account'
77028,F,43,M,Regular,Yes,Yes,Yes,Yes,'Website Account'
66185,F,33,S,Seldom,Yes,Yes,Yes,No,'Website Account'
76558,F,49,M,Seldom,Yes,No,Yes,No,'Bank Transfer'
